Timestamp,Congestion Event,cwnd,sshthresh
2007-06-28 21:05:42.587043,Retransmission,1,1
2007-06-28 21:05:42.587684,Triple Duplicate,1,1
2007-06-28 21:05:42.587909,Triple Duplicate,1,1
2007-06-28 21:05:51.993181,Triple Duplicate,1,1
2007-06-28 21:05:51.993321,Triple Duplicate,1,1
2007-06-28 21:05:51.993649,Triple Duplicate,1,1
2007-06-28 21:05:51.994276,Triple Duplicate,1,1
2007-06-28 21:05:52.010906,,2,1
2007-06-28 21:05:56.092813,Retransmission,1,1
2007-06-28 21:05:56.093405,Retransmission,1,1
