Timestamp,Source IP,Destination IP,Source Port,Destination Port,Sequence,Ack Number,Window,Flags
2020-04-21 16:34:09.932743,192.168.10.184,192.168.10.196,52343,5201,10768102,1,4096,0x0010
2020-04-21 16:34:09.933009,192.168.10.196,192.168.10.184,5201,52343,1,10559322,53248,0x0010
2020-04-21 16:34:09.933036,192.168.10.184,192.168.10.196,52343,5201,10769562,1,4096,0x0010
2020-04-21 16:34:09.973754,192.168.10.196,192.168.10.184,5201,52343,1,10578302,53248,0x0010
2020-04-21 16:34:09.973914,192.168.10.184,192.168.10.196,52343,5201,10771022,1,4096,0x0010
2020-04-21 16:34:09.973915,192.168.10.184,192.168.10.196,52343,5201,10772482,1,4096,0x0010
2020-04-21 16:34:09.973916,192.168.10.184,192.168.10.196,52343,5201,10773942,1,4096,0x0010
2020-04-21 16:34:09.973917,192.168.10.184,192.168.10.196,52343,5201,10775402,1,4096,0x0010
2020-04-21 16:34:09.973917,192.168.10.184,192.168.10.196,52343,5201,10776862,1,4096,0x0010
2020-04-21 16:34:09.973919,192.168.10.184,192.168.10.196,52343,5201,10778322,1,4096,0x0010
2020-04-21 16:34:09.973920,192.168.10.184,192.168.10.196,52343,5201,10779782,1,4096,0x0010
