Event,Timestamp,Ack Number,Sequence
Triple Duplicate,2020-04-21 16:34:02.669663,1,1410398
Triple Duplicate,2020-04-21 16:34:02.669665,1,1416238
Triple Duplicate,2020-04-21 16:34:02.669667,1,1419158
Triple Duplicate,2020-04-21 16:34:02.669669,1,1423538
Triple Duplicate,2020-04-21 16:34:02.669671,1,1427918
Triple Duplicate,2020-04-21 16:34:02.670250,1,1435218
Triple Duplicate,2020-04-21 16:34:02.670252,1,1441058
Triple Duplicate,2020-04-21 16:34:02.670255,1,1443978
Triple Duplicate,2020-04-21 16:34:02.670257,1,1448358
Triple Duplicate,2020-04-21 16:34:02.674264,1,1452738
Triple Duplicate,2020-04-21 16:34:02.674266,1,1457118
Triple Duplicate,2020-04-21 16:34:02.674267,1,1461498
Triple Duplicate,2020-04-21 16:34:02.674270,1,1465878
Triple Duplicate,2020-04-21 16:34:02.674272,1,1470258
Triple Duplicate,2020-04-21 16:34:02.674274,1,1474638
Triple Duplicate,2020-04-21 16:34:02.674275,1,1479018
Triple Duplicate,2020-04-21 16:34:02.674278,1,1483398
Triple Duplicate,2020-04-21 16:34:02.676083,1,1487778
Triple Duplicate,2020-04-21 16:34:02.676085,1,1492158
Triple Duplicate,2020-04-21 16:34:02.677203,1,1499458
Triple Duplicate,2020-04-21 16:34:02.677205,1,1503838
Triple Duplicate,2020-04-21 16:34:02.677207,1,1508218
Triple Duplicate,2020-04-21 16:34:02.677208,1,1512598
Triple Duplicate,2020-04-21 16:34:02.677211,1,1516978
Triple Duplicate,2020-04-21 16:34:02.677213,1,1521358
Triple Duplicate,2020-04-21 16:34:02.681778,1,1528658
Triple Duplicate,2020-04-21 16:34:02.681780,1,1533038
Triple Duplicate,2020-04-21 16:34:02.681782,1,1538878
Triple Duplicate,2020-04-21 16:34:02.681784,1,1541798
Triple Duplicate,2020-04-21 16:34:02.681785,1,1546178
Triple Duplicate,2020-04-21 16:34:02.682557,1,1553478
Triple Duplicate,2020-04-21 16:34:02.682559,1,1557858
Triple Duplicate,2020-04-21 16:34:02.682561,1,1560778
Triple Duplicate,2020-04-21 16:34:02.798221,1,1569538
Triple Duplicate,2020-04-21 16:34:02.798223,1,1573918
Triple Duplicate,2020-04-21 16:34:02.798226,1,1578298
